"Ano","Turma","Disciplina","Notas"
"12.º","CT1","Matemática A",18
"12.º","CT1","Matemática A",12
"12.º","CT1","Matemática A",20
"12.º","CT1","Matemática A",17
"12.º","CT1","Matemática A",14
"12.º","CT1","Matemática A",11
"12.º","CT1","Português",17
"12.º","CT1","Português",12
"12.º","CT1","Português",13
"12.º","CT1","Português",14
"12.º","CT1","Português",14
"12.º","CT1","Português",15
"12.º","CT1","Português",11
"12.º","CT1","Português",12
"12.º","CT1","Português",11
"12.º","CT1","Português",10
"12.º","CT1","Português",14
"12.º","CT1","Português",17
"12.º","CT1","Português",10
"12.º","CT1","Português",17
"12.º","CT1","Português",15
"12.º","CT1","Português",12
"12.º","CT1","Português",12
"12.º","CT1","Química",19
"12.º","CT1","Química",16
"12.º","CT2","Aplicações Informáticas B",19
"12.º","CT2","Aplicações Informáticas B",19
"12.º","CT2","Aplicações Informáticas B",18
"12.º","CT2","Aplicações Informáticas B",20
"12.º","CT2","Biologia",14
"12.º","CT2","Educação Física",20
"12.º","CT2","Educação Física",19
"12.º","CT2","Educação Física",17
"12.º","CT2","Educação Física",19
"12.º","CT2","Educação Física",19
"12.º","CT2","Educação Física",19
"12.º","CT2","Educação Física",20
"12.º","CT2","Educação Física",20
"12.º","CT2","Educação Física",18
"12.º","CT2","Educação Física",17
"12.º","CT2","Educação Física",19
"12.º","CT2","Educação Física",20
"12.º","CT2","Educação Física",18
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Educação Moral e Religiosa",20
"12.º","CT2","Física",19
"12.º","CT2","Física",18
"12.º","CT2","Física",19
"12.º","CT2","Física",19
"12.º","CT2","Física",18
"12.º","CT2","Física",19
"12.º","CT2","Física",17
"12.º","CT2","Inglês",20
"12.º","CT2","Inglês",19
"12.º","CT2","Inglês",19
"12.º","CT2","Matemática A",11
"12.º","CT2","Matemática A",11
"12.º","CT2","Matemática A",13
"12.º","CT2","Matemática A",12
"12.º","CT2","Matemática A",17
"12.º","CT2","Matemática A",12
"12.º","CT2","Matemática A",10
"12.º","CT2","Matemática A",12
"12.º","CT2","Matemática A",16
"12.º","CT2","Matemática A",15
"12.º","CT2","Matemática A",13
"12.º","CT2","Matemática A",8
"12.º","CT2","Matemática A",14
"12.º","CT2","Português",18
"12.º","CT2","Português",15
"12.º","CT2","Português",17
"12.º","CT2","Português",16
"12.º","CT2","Português",14
"12.º","CT2","Português",14
"12.º","CT2","Português",15
"12.º","CT2","Português",14
"12.º","CT2","Português",16
"12.º","CT2","Português",17
"12.º","CT2","Português",15
"12.º","CT2","Português",13
"12.º","CT2","Português",18
"12.º","CT2","Psicologia B",18
"12.º","CT2","Psicologia B",19
"12.º","CT2","Psicologia B",19
"12.º","CT2","Psicologia B",20
"12.º","CT2","Psicologia B",18
"12.º","CT2","Psicologia B",17
"12.º","CT2","Química",18
"12.º","CT2","Química",18
"12.º","CT2","Química",19
"12.º","CT2","Química",18
"12.º","CT2","Química",18
"12.º","CT3","Aplicações Informáticas B",17
"12.º","CT3","Aplicações Informáticas B",18
"12.º","CT3","Aplicações Informáticas B",20
"12.º","CT3","Aplicações Informáticas B",19
"12.º","CT3","Aplicações Informáticas B",19
"12.º","CT3","Aplicações Informáticas B",19
"12.º","CT3","Aplicações Informáticas B",19
"12.º","CT3","Aplicações Informáticas B",19
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",14
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",15
"12.º","CT3","Biologia",13
"12.º","CT3","Biologia",19
"12.º","CT3","Biologia",16
"12.º","CT3","Biologia",15
"12.º","CT3","Biologia",13
"12.º","CT3","Biologia",19
"12.º","CT3","Biologia",17
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",20
"12.º","CT3","Biologia",16
"12.º","CT3","Biologia",20
"12.º","CT3","Economia C",19
"12.º","CT3","Economia C",17
"12.º","CT3","Economia C",19
"12.º","CT3","Economia C",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",17
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",18
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Física",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",19
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Educação Moral e Religiosa",20
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Física",19
"12.º","CT3","Matemática A",20
"12.º","CT3","Matemática A",20
"12.º","CT3","Matemática A",11
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",18
"12.º","CT3","Matemática A",14
"12.º","CT3","Matemática A",10
"12.º","CT3","Matemática A",8
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",12
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",20
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",15
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",17
"12.º","CT3","Matemática A",10
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",17
"12.º","CT3","Matemática A",19
"12.º","CT3","Matemática A",18
"12.º","CT3","Matemática A",12
"12.º","CT3","Matemática A",15
"12.º","CT3","Matemática A",17
"12.º","CT3","Português",18
"12.º","CT3","Português",11
"12.º","CT3","Português",18
"12.º","CT3","Português",14
"12.º","CT3","Português",13
"12.º","CT3","Português",18
"12.º","CT3","Português",16
"12.º","CT3","Português",15
"12.º","CT3","Português",13
"12.º","CT3","Português",13
"12.º","CT3","Português",20
"12.º","CT3","Português",13
"12.º","CT3","Português",16
"12.º","CT3","Português",20
"12.º","CT3","Português",19
"12.º","CT3","Português",16
"12.º","CT3","Português",19
"12.º","CT3","Português",18
"12.º","CT3","Português",15
"12.º","CT3","Português",13
"12.º","CT3","Português",15
"12.º","CT3","Português",18
"12.º","CT3","Português",19
"12.º","CT3","Português",18
"12.º","CT3","Português",15
"12.º","CT3","Português",16
"12.º","CT3","Português",17
"12.º","CT3","Psicologia B",19
"12.º","CT3","Psicologia B",17
"12.º","CT3","Psicologia B",19
"12.º","CT3","Psicologia B",19
"12.º","CT3","Química",20
"12.º","CT3","Química",19
"12.º","CT3","Química",19
"12.º","CT3","Química",19
"12.º","CT3","Química",19
"12.º","CT3","Química",20
"12.º","CT4","Biologia",20
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",17
"12.º","CT4","Biologia",19
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",20
"12.º","CT4","Biologia",19
"12.º","CT4","Biologia",16
"12.º","CT4","Biologia",20
"12.º","CT4","Biologia",20
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",17
"12.º","CT4","Biologia",18
"12.º","CT4","Biologia",17
"12.º","CT4","Biologia",16
"12.º","CT4","Biologia",17
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Física",20
"12.º","CT4","Educação Física",16
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",17
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",18
"12.º","CT4","Educação Física",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",20
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Educação Moral e Religiosa",20
"12.º","CT4","Educação Moral e Religiosa",19
"12.º","CT4","Inglês",18
"12.º","CT4","Inglês",18
"12.º","CT4","Matemática A",19
"12.º","CT4","Matemática A",11
"12.º","CT4","Matemática A",16
"12.º","CT4","Matemática A",16
"12.º","CT4","Matemática A",14
"12.º","CT4","Matemática A",14
"12.º","CT4","Matemática A",14
"12.º","CT4","Matemática A",18
"12.º","CT4","Matemática A",13
"12.º","CT4","Matemática A",10
"12.º","CT4","Matemática A",19
"12.º","CT4","Matemática A",13
"12.º","CT4","Matemática A",19
"12.º","CT4","Matemática A",15
"12.º","CT4","Matemática A",15
"12.º","CT4","Matemática A",10
"12.º","CT4","Matemática A",15
"12.º","CT4","Matemática A",10
"12.º","CT4","Português",18
"12.º","CT4","Português",13
"12.º","CT4","Português",14
"12.º","CT4","Português",15
"12.º","CT4","Português",11
"12.º","CT4","Português",18
"12.º","CT4","Português",16
"12.º","CT4","Português",17
"12.º","CT4","Português",11
"12.º","CT4","Português",13
"12.º","CT4","Português",16
"12.º","CT4","Português",13
"12.º","CT4","Português",15
"12.º","CT4","Português",12
"12.º","CT4","Português",14
"12.º","CT4","Português",13
"12.º","CT4","Português",13
"12.º","CT4","Português",10
"12.º","CT4","Psicologia B",20
"12.º","CT4","Psicologia B",18
"12.º","CT4","Psicologia B",19
"12.º","CT4","Psicologia B",20
"12.º","CT4","Psicologia B",19
"12.º","CT4","Psicologia B",20
"12.º","CT4","Psicologia B",19
"12.º","CT4","Psicologia B",20
"12.º","CT4","Psicologia B",20
"12.º","CT4","Química",20
"12.º","CT4","Química",18
"12.º","CT4","Química",16
"12.º","CT4","Química",20
"12.º","CT4","Química",19
"12.º","CT4","Química",18
"12.º","CT4","Química",20
